INTJ UH
NP PRP$
NP NNS
NP PRP
ADVP RB
NP PRP
NP NN
PP IN
PP NP
NP PRP
NP DT
NP JJ
NP NN
VP VBD
VP NP
S NP
S VP
SBAR IN
SBAR S
VP VB
VP PP
VP SBAR
S NP
S VP
VP VBG
VP S
S VP
VP VB
VP S
VP MD
VP ADVP
VP VP
S NP
S VP
SBAR S
VP VBD
VP SBAR
S NP
S VP
SBAR S
VP VB
VP SBAR
S INTJ
S VP
S .
ROOT S
NP NN
NP NNS
NP PRP
NP DT
PRT RP
NP JJ
NP NN
NP NN
NP NNP
NP CD
PP IN
PP NP
VP VB
VP NP
VP PRT
VP PP
VP MD
VP VP
S NP
S VP
SBAR S
VP VBP
VP SBAR
S IN
S NP
S VP
S .
ROOT S
ADVP IN
WHNP WDT
NP NN
VP VBG
VP NP
S VP
SBAR WHNP
SBAR S
FRAG ADVP
FRAG SBAR
FRAG .
ROOT FRAG
NP NN
NP NN
ADVP RB
ADJP RBS
ADJP JJ
WHADVP WRB
NP CD
VP VBZ
VP NP
S VP
SBAR WHADVP
SBAR S
ADJP ADJP
ADJP SBAR
VP VBZ
VP ADVP
VP ADJP
S NP
S VP
FRAG NP
FRAG :
FRAG S
FRAG .
ROOT FRAG
PRT RP
NP DT
NP NN
WHNP WDT
ADJP JJ
VP VBZ
VP ADJP
S VP
SBAR WHNP
SBAR S
NP NP
NP SBAR
VP VB
VP PRT
VP NP
S VP
S .
ROOT S
NP FW
ADVP RB
NP NN
NP DT
NP JJ
NP NN
NP NN
NP NN
PP IN
PP NP
WHNP WDT
NP PRP
ADJP RB
ADJP JJ
NP DT
NP JJ
NP ADJP
NP NN
ADVP RB
NP FW
NP CD
ADVP RB
NP PRP
NP NN
ADJP JJ
VP VB
VP ADJP
VP MD
VP VP
S NP
S VP
SBAR S
VP VBP
VP SBAR
S NP
S VP
SBAR IN
SBAR S
VP VB
VP NP
VP ADVP
VP SBAR
VP MD
VP VP
S NP
S VP
SBAR S
NP NP
NP ADVP
NP SBAR
VP VBD
VP NP
VP NP
S VP
SBAR WHNP
SBAR S
NP NP
NP PP
NP SBAR
NP NP
NP CC
NP NP
VP VBP
VP NP
S NP
S ADVP
S VP
NP NNP
ADJP JJ
S NP
S ADJP
NP NNP
NP NNP
NP PRP$
NP NNS
VP VB
VP NP
VP TO
VP VP
S VP
VP VB
VP S
VP VBP
VP RB
VP VP
S NP
S VP
S S
S :
S S
S :
S S
NP NNP
NP NNP
VP VB
VP VBP
VP RB
VP VP
S S
S NP
S VP
S .
ROOT S
NP DT
NP CD
NP NNS
ADJP JJ
ADJP NP
ADVP RB
ADVP RB
ADJP JJ
VP VBZ
VP ADJP
VP ADVP
VP ,
VP ADJP
S NP
S VP
S .
ROOT S
WHADJP WRB
WHADJP JJ
WHNP WHADJP
WHNP NNS
NP DT
NP NN
PP TO
PP NP
WHNP WHNP
WHNP PP
FRAG WHNP
VP VB
VP FRAG
S VP
NP PRP
NP CD
PP IN
PP NP
ADVP RB
VP VBG
VP PP
VP ,
VP ADVP
VP VBP
VP VP
S -LRB-
S S
S :
S NP
S VP
S .
ROOT S
NP NNP
NP NNS
WHADVP WRB
FRAG WHADVP
NP NP
NP FRAG
PP IN
PP NP
VP VB
VP -RRB-
VP NP
VP PP
SQ VP
SQ .
ROOT SQ
VP VB
S VP
S .
ROOT S
ADJP JJ
FRAG ADJP
FRAG .
ROOT FRAG
NP NNP
PRN -LRB-
PRN NP
PRN -RRB-
NP NN
WHNP WDT
ADJP JJ
VP VBZ
VP ADJP
S VP
SBAR WHNP
SBAR S
NP NP
NP SBAR
NP PRP
NP DT
NP NNP
NP NNP
NP NNP
NP NNP
NP NNP
NP NNP
PP IN
PP NP
NP NP
NP PP
NP NN
NP JJ
NP JJ
NP NN
NP NN
NP NNP
NP NNP
NP CC
NP NNP
NP NNS
NP NP
NP CC
NP NP
ADJP JJ
VP VBZ
VP ADJP
S NP
S VP
ADVP RB
NP FW
ADVP RB
NP DT
NP NNS
VP VB
VP NP
VP VBP
VP RB
VP ADVP
VP VP
S ADVP
S NP
S VP
NP PRP
VP VBD
S NP
S VP
NP PRP
NP PRP
ADVP RB
ADVP RB
NP RB
NP CD
NP NNS
ADJP ADVP
ADJP NP
ADJP JJ
NP ADJP
NP NN
NP FW
NP CD
VP VB
VP NP
VP MD
VP VP
S NP
S VP
SBAR S
NP NP
NP SBAR
VP VB
VP NP
VP NP
VP MD
VP VP
S NP
S VP
S :
S S
S S
S S
S CC
S S
VP VBG
VP S
S VP
VP VB
VP NP
VP S
VP MD
VP VP
S NP
S VP
SBAR S
VP VBP
VP SBAR
S NP
S VP
SBAR S
VP VBP
VP SBAR
S NP
S VP
SBAR PRN
SBAR S
NP NN
NP CD
NP NN
NP PRP
PP IN
PP NP
ADJP JJR
ADJP PP
CONJP RB
CONJP RB
NP CD
NP DT
PP IN
PP NP
NP NP
NP PP
NP FW
ADVP RB
NP PRP$
NP NN
NP NNS
NP PRP
PP IN
PP NP
NP NP
NP PP
VP VBG
VP NP
VP VBZ
VP VP
S ADVP
S NP
S VP
NP NN
NP NNP
NP NNP
PP IN
PP NP
NP NP
NP PP
NP PRP
NP NNS
NP PRP
NP PRP
NP PRP
PP IN
PP NP
VP VB
VP NP
VP PP
VP TO
VP VP
S NP
S VP
VP VBP
VP S
S NP
S VP
SBAR S
VP VBP
VP SBAR
S NP
S VP
S S
S CC
S S
VP VB
VP S
VP MD
VP VP
S NP
S VP
SBAR S
VP VB
VP SBAR
VP MD
VP VP
S NP
S VP
SBAR S
ADJP RB
ADJP JJ
ADJP SBAR
ADJP ADJP
ADJP CONJP
ADJP ADJP
ADVP RB
ADVP RB
VP VB
VP ADJP
VP ADVP
VP MD
VP VP
S VP
SBAR S
NP NP
NP SBAR
PP IN
PP NP
NP NP
NP PP
VP VB
VP NP
S SBAR
S ,
S VP
S .
ROOT S
NP PRP
ADVP RB
NP PRP
ADVP RB
NP PRP
NP RB
NP FW
ADJP JJ
ADVP RB
WHNP WP
NP PRP
ADVP RB
ADJP JJ
FRAG ADJP
FRAG :
VP VBG
VP ADVP
VP ,
VP FRAG
VP VBZ
VP VP
S NP
S VP
SBAR ADVP
SBAR WHNP
SBAR S
VP VBP
VP RB
VP ADJP
VP SBAR
S NP
S VP
SBAR S
NP PRP
NP DT
NP NNP
NP NN
WHNP WDT
NP NNP
PP IN
PP NP
NP NNP
NP CD
NP CD
NP RB
PP IN
PP NP
NP NP
NP PP
PP IN
PP NP
VP VBZ
VP PP
VP PP
NP NNP
NP CD
NP NN
NP NNP
NP CD
PP IN
PP NP
NP NP
NP PP
PP IN
PP NP
VP VBD
VP NP
VP PP
VP VP
VP CC
VP VP
S VP
SBAR WHNP
SBAR S
NP NP
NP SBAR
PP IN
PP NP
VP VBG
VP PP
VP VBP
VP VP
S NP
S VP
FRAG NP
FRAG SBAR
FRAG :
FRAG ``
FRAG S
FRAG .
SBAR IN
SBAR FRAG
VP VBG
VP NP
VP SBAR
VP VBZ
